city,country,eiu_region,year,value,rank
Houston,US,North America,2021,81,30
Minneapolis,US,North America,2021,82,27
Oslo,Norway,Western Europe,2021,93,11
Melbourne,Australia,Asia & Australasia,2021,88,16
Seattle,US,North America,2021,78,41
San Diego,US,North America,2021,77,50
Amman,Jordan,Middle East & Africa,2021,80,33
Shanghai,China,Asia & Australasia,2021,86,19
Seoul,South Korea,Asia & Australasia,2021,92,12
Boston,US,North America,2021,77,50
Washington DC,US,North America,2021,78,41
Shenzhen,China,Asia & Australasia,2021,85,22
Pittsburgh,US,North America,2021,76,53
Vancouver,Canada,North America,2021,78,41
Vienna,Austria,Western Europe,2021,90,14
Chicago,US,North America,2021,75,56
Dublin,Ireland,Western Europe,2021,86,19
Frankfurt,Germany,Western Europe,2021,86,19
London,UK ,Western Europe,2021,87,17
Helsinki,Finland,Western Europe,2021,87,17
Brisbane,Australia,Asia & Australasia,2021,79,36
Milan,Italy,Western Europe,2021,85,22
Dalian,China,Asia & Australasia,2021,78,41
Beijing,China,Asia & Australasia,2021,79,36
Reykjavik,Iceland,Western Europe,2021,79,36
Moscow,Russia,Eastern Europe,2021,56,125
Honolulu,US,North America,2021,71,66
Adelaide,Australia,Asia & Australasia,2021,78,41
Auckland,New Zealand,Asia & Australasia,2021,82,27
Wellington,New Zealand,Asia & Australasia,2021,83,25
Tokyo,Japan,Asia & Australasia,2021,91,13
Mexico City,Mexico,Latin America & the Caribbean,2021,69,76
Munich,Germany,Western Europe,2021,83,25
Osaka,Japan,Asia & Australasia,2021,94,10
Atlanta,US,North America,2021,67,88
Portland,US,North America,2021,69,76
Saipan,Northern Mariana Islands,North America,2021,69,76
Nanjing,China,Asia & Australasia,2021,75,56
Wuxi,China,Asia & Australasia,2021,75,56
Hamburg,Germany,Western Europe,2021,81,30
Edinburgh,UK,Western Europe,2021,82,27
Charlotte,US,North America,2021,66,92
Indianapolis,US,North America,2021,67,88
Lexington,US,North America,2021,68,81
Miami,US,North America,2021,68,81
Cleveland,US,North America,2021,68,81
Fort Lee,US,North America,2021,68,81
Abu Dhabi,UAE,Middle East & Africa,2021,71,66
Dusseldorf,Germany,Western Europe,2021,78,41
